N̼mero de Pedido,Cliente,Fecha del Pedido,Monto Total,Estado del Pedido,Ejecutivo Responsable,Producto Comprado
Pedido-1,Cliente 143,2024-09-25,4788.84,Pendiente,Empleado 13,Producto 199
Pedido-2,Cliente 866,2024-05-30,2816.57,Pendiente,Empleado 74,Producto 95
Pedido-3,Cliente 696,2024-06-05,4182.37,Procesado,Empleado 8,Producto 281
Pedido-4,Cliente 369,2024-08-03,173.39,Pendiente,Empleado 6,Producto 17
Pedido-5,Cliente 1759,2024-08-25,2138.54,Pendiente,Empleado 72,Producto 238
Pedido-6,Cliente 11,2024-08-27,4331.47,Procesado,Empleado 72,Producto 38
Pedido-7,Cliente 1060,2024-05-04,943.59,Enviado,Empleado 55,Producto 274
Pedido-8,Cliente 208,2025-01-08,4801.56,Procesado,Empleado 17,Producto 109
Pedido-9,Cliente 1117,2024-08-04,1070.00,Cancelado,Empleado 25,Producto 197
Pedido-10,Cliente 304,2024-06-25,295.19,Enviado,Empleado 66,Producto 258
Pedido-11,Cliente 1910,2024-08-03,630.79,Pendiente,Empleado 48,Producto 162
Pedido-12,Cliente 1787,2024-09-25,1801.46,Procesado,Empleado 44,Producto 253
Pedido-13,Cliente 1838,2024-05-28,4553.86,Procesado,Empleado 29,Producto 60
Pedido-14,Cliente 1538,2024-06-28,4625.30,Pendiente,Empleado 83,Producto 120
Pedido-15,Cliente 1269,2025-02-13,3309.86,Entregado,Empleado 26,Producto 3
Pedido-16,Cliente 997,2024-04-03,2621.00,Cancelado,Empleado 99,Producto 147
Pedido-17,Cliente 964,2024-10-24,1949.92,Procesado,Empleado 47,Producto 199
Pedido-18,Cliente 693,2024-12-07,1351.74,Entregado,Empleado 46,Producto 272
Pedido-19,Cliente 1785,2024-10-27,1534.96,Entregado,Empleado 47,Producto 229
Pedido-20,Cliente 1274,2024-08-12,4335.55,Procesado,Empleado 21,Producto 165
Pedido-21,Cliente 738,2024-04-15,1498.48,Procesado,Empleado 66,Producto 62
Pedido-22,Cliente 969,2024-10-24,1207.36,Entregado,Empleado 33,Producto 196
Pedido-23,Cliente 31,2024-03-11,2599.01,Enviado,Empleado 68,Producto 73
Pedido-24,Cliente 1586,2024-04-27,3942.22,Procesado,Empleado 34,Producto 238
Pedido-25,Cliente 1152,2024-06-17,2930.66,Enviado,Empleado 95,Producto 229
Pedido-26,Cliente 1197,2024-10-13,3209.42,Enviado,Empleado 66,Producto 13
Pedido-27,Cliente 697,2024-05-18,1142.56,Enviado,Empleado 66,Producto 38
Pedido-28,Cliente 1861,2024-02-27,3030.19,Procesado,Empleado 21,Producto 262
Pedido-29,Cliente 336,2024-03-09,4668.80,Enviado,Empleado 42,Producto 72
Pedido-30,Cliente 710,2024-06-23,3894.67,Cancelado,Empleado 96,Producto 253
Pedido-31,Cliente 959,2024-04-07,1169.89,Procesado,Empleado 71,Producto 189
Pedido-32,Cliente 1289,2024-09-08,293.28,Procesado,Empleado 32,Producto 144
Pedido-33,Cliente 742,2024-11-10,3378.65,Enviado,Empleado 12,Producto 54
Pedido-34,Cliente 868,2024-06-20,4817.84,Entregado,Empleado 25,Producto 230
Pedido-35,Cliente 1630,2024-10-19,1637.64,Cancelado,Empleado 63,Producto 215
Pedido-36,Cliente 825,2024-06-29,4144.34,Procesado,Empleado 56,Producto 123
Pedido-37,Cliente 1396,2024-07-15,4300.44,Procesado,Empleado 83,Producto 80
Pedido-38,Cliente 628,2024-08-14,726.41,Pendiente,Empleado 60,Producto 276
Pedido-39,Cliente 703,2024-06-10,4631.04,Entregado,Empleado 99,Producto 162
Pedido-40,Cliente 1532,2024-07-17,888.00,Procesado,Empleado 12,Producto 102
Pedido-41,Cliente 1328,2025-01-10,4018.86,Cancelado,Empleado 57,Producto 183
Pedido-42,Cliente 1279,2024-04-03,3360.33,Procesado,Empleado 44,Producto 215
Pedido-43,Cliente 1448,2025-01-26,4430.23,Procesado,Empleado 94,Producto 48
Pedido-44,Cliente 1240,2024-05-23,1722.20,Enviado,Empleado 80,Producto 270
Pedido-45,Cliente 1149,2024-10-24,664.16,Cancelado,Empleado 59,Producto 77
Pedido-46,Cliente 189,2024-08-27,4657.41,Cancelado,Empleado 47,Producto 119
Pedido-47,Cliente 235,2024-04-20,2094.75,Pendiente,Empleado 45,Producto 289
Pedido-48,Cliente 1098,2024-05-16,2815.02,Pendiente,Empleado 24,Producto 221
Pedido-49,Cliente 1001,2024-08-26,462.91,Cancelado,Empleado 5,Producto 37
Pedido-50,Cliente 1846,2024-05-14,3028.14,Procesado,Empleado 64,Producto 40
Pedido-51,Cliente 514,2024-06-11,4710.50,Enviado,Empleado 75,Producto 289
Pedido-52,Cliente 357,2024-03-09,553.15,Cancelado,Empleado 76,Producto 278
Pedido-53,Cliente 284,2024-07-29,3187.52,Entregado,Empleado 97,Producto 300
Pedido-54,Cliente 1841,2024-05-12,4462.13,Cancelado,Empleado 44,Producto 275
Pedido-55,Cliente 1576,2024-08-19,4046.00,Entregado,Empleado 71,Producto 72
Pedido-56,Cliente 1020,2025-01-12,2075.11,Procesado,Empleado 77,Producto 215
Pedido-57,Cliente 123,2025-02-10,3591.61,Procesado,Empleado 15,Producto 36
Pedido-58,Cliente 856,2024-10-10,3771.01,Pendiente,Empleado 12,Producto 123
Pedido-59,Cliente 998,2024-06-14,654.21,Pendiente,Empleado 93,Producto 103
Pedido-60,Cliente 727,2025-01-27,2248.14,Pendiente,Empleado 27,Producto 61
Pedido-61,Cliente 567,2024-04-22,677.34,Enviado,Empleado 38,Producto 178
Pedido-62,Cliente 1020,2024-11-13,2651.72,Enviado,Empleado 76,Producto 12
Pedido-63,Cliente 748,2025-02-03,3175.22,Cancelado,Empleado 98,Producto 23
Pedido-64,Cliente 835,2024-10-29,1174.00,Procesado,Empleado 51,Producto 217
Pedido-65,Cliente 131,2024-07-02,2400.58,Cancelado,Empleado 53,Producto 283
Pedido-66,Cliente 643,2024-03-27,3153.62,Pendiente,Empleado 58,Producto 247
Pedido-67,Cliente 900,2024-04-25,4308.35,Entregado,Empleado 80,Producto 85
Pedido-68,Cliente 1373,2024-06-13,2972.61,Enviado,Empleado 34,Producto 295
Pedido-69,Cliente 896,2024-10-23,432.50,Entregado,Empleado 45,Producto 33
Pedido-70,Cliente 234,2024-08-29,3884.43,Entregado,Empleado 38,Producto 3
Pedido-71,Cliente 1611,2024-03-07,4714.50,Pendiente,Empleado 78,Producto 88
Pedido-72,Cliente 535,2024-07-22,2955.97,Entregado,Empleado 2,Producto 215
Pedido-73,Cliente 1521,2024-10-09,313.72,Entregado,Empleado 10,Producto 127
Pedido-74,Cliente 1609,2024-03-27,1230.30,Entregado,Empleado 93,Producto 82
Pedido-75,Cliente 825,2024-05-20,705.80,Entregado,Empleado 90,Producto 206
Pedido-76,Cliente 1402,2024-11-14,4603.80,Procesado,Empleado 10,Producto 176
Pedido-77,Cliente 1602,2024-05-09,1874.96,Cancelado,Empleado 17,Producto 270
Pedido-78,Cliente 463,2024-07-29,4930.01,Entregado,Empleado 75,Producto 167
Pedido-79,Cliente 1347,2025-01-05,1706.72,Pendiente,Empleado 27,Producto 9
Pedido-80,Cliente 150,2024-10-31,3640.62,Pendiente,Empleado 69,Producto 14
Pedido-81,Cliente 554,2024-09-13,3371.55,Pendiente,Empleado 18,Producto 240
Pedido-82,Cliente 628,2024-04-18,277.85,Entregado,Empleado 89,Producto 283
Pedido-83,Cliente 653,2024-06-10,2515.69,Cancelado,Empleado 87,Producto 235
Pedido-84,Cliente 1125,2024-04-06,1515.32,Pendiente,Empleado 26,Producto 62
Pedido-85,Cliente 80,2024-05-12,1859.08,Entregado,Empleado 15,Producto 96
Pedido-86,Cliente 868,2024-09-18,2212.09,Entregado,Empleado 61,Producto 126
Pedido-87,Cliente 831,2024-08-16,2951.48,Pendiente,Empleado 59,Producto 217
Pedido-88,Cliente 1103,2024-03-14,1707.85,Entregado,Empleado 78,Producto 178
Pedido-89,Cliente 1623,2024-12-30,1728.12,Enviado,Empleado 2,Producto 77
Pedido-90,Cliente 1627,2024-05-03,1076.12,Pendiente,Empleado 31,Producto 132
Pedido-91,Cliente 1218,2024-05-31,1191.82,Procesado,Empleado 78,Producto 37
Pedido-92,Cliente 966,2024-10-30,4909.01,Pendiente,Empleado 24,Producto 243
Pedido-93,Cliente 1368,2024-10-28,4802.25,Procesado,Empleado 50,Producto 141
Pedido-94,Cliente 688,2024-12-06,2857.96,Entregado,Empleado 42,Producto 188
Pedido-95,Cliente 1464,2024-04-26,3358.90,Pendiente,Empleado 54,Producto 195
Pedido-96,Cliente 1961,2025-01-01,2050.58,Cancelado,Empleado 27,Producto 77
Pedido-97,Cliente 167,2024-06-20,2413.02,Procesado,Empleado 20,Producto 114
Pedido-98,Cliente 358,2024-10-15,1961.62,Cancelado,Empleado 92,Producto 38
Pedido-99,Cliente 1688,2024-06-30,251.30,Cancelado,Empleado 33,Producto 52
Pedido-100,Cliente 198,2025-01-04,3068.61,Entregado,Empleado 86,Producto 32
Pedido-101,Cliente 326,2025-01-11,3369.11,Entregado,Empleado 72,Producto 272
Pedido-102,Cliente 942,2025-01-15,2222.28,Pendiente,Empleado 90,Producto 42
Pedido-103,Cliente 101,2024-02-27,4610.89,Procesado,Empleado 42,Producto 37
Pedido-104,Cliente 1504,2024-05-04,4948.90,Pendiente,Empleado 92,Producto 255
Pedido-105,Cliente 1233,2025-01-23,2522.78,Cancelado,Empleado 89,Producto 227
Pedido-106,Cliente 375,2024-07-06,2703.21,Pendiente,Empleado 10,Producto 164
Pedido-107,Cliente 10,2024-10-12,3237.91,Enviado,Empleado 74,Producto 241
