Nombre de la Empresa,Tipo de Cliente,Ubicación,Ejecutivo de Cuenta,Volumen de Compra Mensual
Cliente 1,Mediana Empresa,Ubicación 30,Empleado 57,44593.94
Cliente 2,Corporativo,Ubicación 34,Empleado 43,39182.46
Cliente 3,Gobierno,Ubicación 5,Empleado 82,1504.34
Cliente 4,Corporativo,Ubicación 76,Empleado 57,40103.55
Cliente 5,Gobierno,Ubicación 8,Empleado 93,21789.46
Cliente 6,Gobierno,Ubicación 96,Empleado 46,44131.17
Cliente 7,Corporativo,Ubicación 76,Empleado 13,39893.5
Cliente 8,Pequeña Empresa,Ubicación 29,Empleado 85,34871.54
Cliente 9,Mediana Empresa,Ubicación 96,Empleado 78,12484.61
Cliente 10,Mediana Empresa,Ubicación 57,Empleado 51,12958.58
Cliente 11,Corporativo,Ubicación 39,Empleado 27,37715.24
Cliente 12,Pequeña Empresa,Ubicación 95,Empleado 97,37100.18
Cliente 13,Mediana Empresa,Ubicación 54,Empleado 40,2132.97
Cliente 14,Mediana Empresa,Ubicación 13,Empleado 65,10382.25
Cliente 15,Mediana Empresa,Ubicación 99,Empleado 12,41759.64
Cliente 16,Corporativo,Ubicación 56,Empleado 66,13982.32
Cliente 17,Pequeña Empresa,Ubicación 75,Empleado 67,10465.28
Cliente 18,Mediana Empresa,Ubicación 54,Empleado 86,39196.74
Cliente 19,Pequeña Empresa,Ubicación 60,Empleado 33,34789.18
Cliente 20,Mediana Empresa,Ubicación 25,Empleado 62,27470.06
Cliente 21,Pequeña Empresa,Ubicación 24,Empleado 45,47382.73
Cliente 22,Gobierno,Ubicación 76,Empleado 59,1805.44
Cliente 23,Pequeña Empresa,Ubicación 82,Empleado 42,40433.97
Cliente 24,Mediana Empresa,Ubicación 77,Empleado 4,23033.92
Cliente 25,Mediana Empresa,Ubicación 27,Empleado 61,18096.83
Cliente 26,Gobierno,Ubicación 83,Empleado 38,24480.28
Cliente 27,Pequeña Empresa,Ubicación 65,Empleado 37,21489.57
Cliente 28,Corporativo,Ubicación 96,Empleado 6,44089.66
Cliente 29,Gobierno,Ubicación 100,Empleado 21,27727.76
Cliente 30,Gobierno,Ubicación 42,Empleado 48,29458.58
Cliente 31,Gobierno,Ubicación 58,Empleado 73,27301.96
Cliente 32,Mediana Empresa,Ubicación 24,Empleado 98,12695.65
Cliente 33,Gobierno,Ubicación 54,Empleado 38,36269.71
Cliente 34,Mediana Empresa,Ubicación 49,Empleado 77,40483.67
Cliente 35,Corporativo,Ubicación 6,Empleado 53,17073.64
Cliente 36,Corporativo,Ubicación 15,Empleado 21,26396.91
Cliente 37,Gobierno,Ubicación 39,Empleado 54,49320.69
Cliente 38,Mediana Empresa,Ubicación 91,Empleado 69,9734.56
Cliente 39,Pequeña Empresa,Ubicación 44,Empleado 76,28388.42
Cliente 40,Gobierno,Ubicación 46,Empleado 24,30697.6
