Número de Pedido,Cliente,Fecha del Pedido,Monto Total,Estado del Pedido,Ejecutivo Responsable,Producto Comprado
Pedido-1,Cliente 143,2024-09-25,4788.84,Pendiente,Empleado 13,"Producto 199, Producto 204"
Pedido-2,Cliente 866,2024-05-30,2816.57,Pendiente,Empleado 74,"Producto 95, Producto 16, Producto 264"
Pedido-3,Cliente 696,2024-06-05,4182.37,Procesado,Empleado 8,"Producto 281, Producto 69, Producto 237"
Pedido-4,Cliente 369,2024-08-03,173.39,Pendiente,Empleado 6,"Producto 17, Producto 83, Producto 46"
Pedido-5,Cliente 1759,2024-08-25,2138.54,Pendiente,Empleado 72,"Producto 238, Producto 30, Producto 79, Producto 116, Producto 137"
Pedido-6,Cliente 11,2024-08-27,4331.47,Procesado,Empleado 72,Producto 38
Pedido-7,Cliente 1060,2024-05-04,943.59,Enviado,Empleado 55,"Producto 274, Producto 272"
Pedido-8,Cliente 208,2025-01-08,4801.56,Procesado,Empleado 17,"Producto 109, Producto 232, Producto 144"
Pedido-9,Cliente 1117,2024-08-04,1070.0,Cancelado,Empleado 25,Producto 197
Pedido-10,Cliente 304,2024-06-25,295.19,Enviado,Empleado 66,Producto 258
Pedido-11,Cliente 1910,2024-08-03,630.79,Pendiente,Empleado 48,"Producto 162, Producto 120, Producto 134, Producto 102, Producto 23"
Pedido-12,Cliente 1787,2024-09-25,1801.46,Procesado,Empleado 44,"Producto 253, Producto 163, Producto 81, Producto 138, Producto 66"
Pedido-13,Cliente 1838,2024-05-28,4553.86,Procesado,Empleado 29,"Producto 60, Producto 221, Producto 299, Producto 54"
Pedido-14,Cliente 1538,2024-06-28,4625.3,Pendiente,Empleado 83,"Producto 120, Producto 239, Producto 158"
Pedido-15,Cliente 1269,2025-02-13,3309.86,Entregado,Empleado 26,"Producto 3, Producto 153, Producto 98, Producto 91"
Pedido-16,Cliente 997,2024-04-03,2621.0,Cancelado,Empleado 99,"Producto 147, Producto 209, Producto 97"
Pedido-17,Cliente 964,2024-10-24,1949.92,Procesado,Empleado 47,"Producto 199, Producto 266"
Pedido-18,Cliente 693,2024-12-07,1351.74,Entregado,Empleado 46,Producto 272
Pedido-19,Cliente 1785,2024-10-27,1534.96,Entregado,Empleado 47,"Producto 229, Producto 75"
Pedido-20,Cliente 1274,2024-08-12,4335.55,Procesado,Empleado 21,"Producto 165, Producto 65, Producto 254, Producto 176, Producto 78"
Pedido-21,Cliente 738,2024-04-15,1498.48,Procesado,Empleado 66,"Producto 62, Producto 187, Producto 276, Producto 23"
Pedido-22,Cliente 969,2024-10-24,1207.36,Entregado,Empleado 33,"Producto 196, Producto 112, Producto 116, Producto 107"
Pedido-23,Cliente 31,2024-03-11,2599.01,Enviado,Empleado 68,"Producto 73, Producto 191, Producto 269"
Pedido-24,Cliente 1586,2024-04-27,3942.22,Procesado,Empleado 34,"Producto 238, Producto 199"
Pedido-25,Cliente 1152,2024-06-17,2930.66,Enviado,Empleado 95,"Producto 229, Producto 289, Producto 257, Producto 142"
Pedido-26,Cliente 1197,2024-10-13,3209.42,Enviado,Empleado 66,"Producto 13, Producto 154"
Pedido-27,Cliente 697,2024-05-18,1142.56,Enviado,Empleado 66,"Producto 38, Producto 182, Producto 159"
Pedido-28,Cliente 1861,2024-02-27,3030.19,Procesado,Empleado 21,"Producto 262, Producto 56, Producto 64"
Pedido-29,Cliente 336,2024-03-09,4668.8,Enviado,Empleado 42,Producto 72
