Nombre de la Empresa,Tipo de Cliente,Ubicacion,Ejecutivo de Cuenta,Volumen de Compra Mensual
Cliente 1771,Mediana Empresa,Ubicacion 48,a02aj000008MD5SAAW,34268.54
Cliente 234,Corporativo,Ubicacion 16,a02aj000008MD6LAAW,23501.07
Cliente 376,Gobierno,Ubicacion 42,a02aj000008MD5qAAG,28539.33
Cliente 753,Mediana Empresa,Ubicacion 49,a02aj000008MD5VAAW,24414.80
Cliente 1375,Corporativo,Ubicacion 46,a02aj000008MD6MAAW,2218.84
Cliente 1271,Corporativo,Ubicacion 86,a02aj000008MD5yAAG,39974.36
Cliente 1359,Corporativo,Ubicacion 10,a02aj000008MD5eAAG,24234.90
Cliente 1219,Mediana Empresa,Ubicacion 50,a02aj000008MD5zAAG,14055.90
Cliente 1467,Corporativo,Ubicacion 66,a02aj000008MD5VAAW,37116.73
Cliente 1992,Corporativo,Ubicacion 33,a02aj000008MD6PAAW,653.50
Cliente 1714,Gobierno,Ubicacion 3,a02aj000008MD5QAAW,37399.43
Cliente 441,Mediana Empresa,Ubicacion 68,a02aj000008MD5tAAG,46319.21
Cliente 836,Corporativo,Ubicacion 87,a02aj000008MD6HAAW,1496.47
Cliente 1121,Mediana Empresa,Ubicacion 70,a02aj000008MD6MAAW,30213.90
Cliente 1935,Corporativo,Ubicacion 77,a02aj000008MD6HAAW,18984.40
Cliente 294,Corporativo,Ubicacion 29,a02aj000008MD5rAAG,37306.20
Cliente 1120,Corporativo,Ubicacion 74,a02aj000008MD5VAAW,14867.66
Cliente 99,Gobierno,Ubicacion 74,a02aj000008MD67AAG,37233.61
Cliente 63,Corporativo,Ubicacion 64,a02aj000008MD65AAG,11213.24
Cliente 1496,Corporativo,Ubicacion 89,a02aj000008MD5wAAG,22666.69
Cliente 87,Corporativo,Ubicacion 2,a02aj000008MD5kAAG,36741.86
Cliente 1622,Mediana Empresa,Ubicacion 79,a02aj000008MD5PAAW,3847.42
Cliente 1812,Mediana Empresa,Ubicacion 29,a02aj000008MD5JAAW,7395.53
Cliente 1220,Mediana Empresa,Ubicacion 7,a02aj000008MD5TAAW,1142.17
Cliente 329,Gobierno,Ubicacion 71,a02aj000008MD5uAAG,45918.83
Cliente 1292,Corporativo,Ubicacion 4,a02aj000008MD5VAAW,11862.30
Cliente 583,Corporativo,Ubicacion 25,a02aj000008MD5HAAW,44005.58
Cliente 592,Corporativo,Ubicacion 71,a02aj000008MD68AAG,21829.76
Cliente 1569,Gobierno,Ubicacion 33,a02aj000008MD5XAAW,34546.77
Cliente 834,Gobierno,Ubicacion 3,a02aj000008MD6DAAW,2357.81
Cliente 995,Mediana Empresa,Ubicacion 26,a02aj000008MD6EAAW,14837.88
Cliente 1052,Mediana Empresa,Ubicacion 93,a02aj000008MD5kAAG,33992.78
Cliente 1225,Corporativo,Ubicacion 84,a02aj000008MD6CAAW,17218.22
Cliente 563,Corporativo,Ubicacion 94,a02aj000008MD6OAAW,8770.24
Cliente 1245,Mediana Empresa,Ubicacion 76,a02aj000008MD5bAAG,35821.67
Cliente 257,Corporativo,Ubicacion 50,a02aj000008MD66AAG,5119.59
Cliente 224,Mediana Empresa,Ubicacion 62,a02aj000008MD6EAAW,32333.36
Cliente 1270,Gobierno,Ubicacion 72,a02aj000008MD5NAAW,46930.51
Cliente 1715,Corporativo,Ubicacion 64,a02aj000008MD5pAAG,21218.34
Cliente 514,Corporativo,Ubicacion 25,a02aj000008MD6GAAW,47936.51
Cliente 1311,Corporativo,Ubicacion 42,a02aj000008MD5oAAG,48551.60
Cliente 273,Mediana Empresa,Ubicacion 94,a02aj000008MD5qAAG,24340.76
Cliente 1179,Corporativo,Ubicacion 26,a02aj000008MD5FAAW,975.58
Cliente 1170,Mediana Empresa,Ubicacion 51,a02aj000008MD6PAAW,29981.45
Cliente 1537,Mediana Empresa,Ubicacion 9,a02aj000008MD5hAAG,23592.95
Cliente 966,Corporativo,Ubicacion 18,a02aj000008MD65AAG,4565.54
Cliente 1478,Mediana Empresa,Ubicacion 19,a02aj000008MD5pAAG,19047.66
Cliente 1653,Corporativo,Ubicacion 88,a02aj000008MD5JAAW,23839.92
Cliente 378,Corporativo,Ubicacion 54,a02aj000008MD6IAAW,17058.40
Cliente 1069,Corporativo,Ubicacion 4,a02aj000008MD5NAAW,4404.99
Cliente 370,Gobierno,Ubicacion 86,a02aj000008MD5jAAG,8988.90
Cliente 680,Gobierno,Ubicacion 91,a02aj000008MD6FAAW,35421.17
Cliente 586,Mediana Empresa,Ubicacion 51,a02aj000008MD5PAAW,47552.63
Cliente 1258,Gobierno,Ubicacion 25,a02aj000008MD5KAAW,22260.51
Cliente 1902,Mediana Empresa,Ubicacion 100,a02aj000008MD5YAAW,2563.99
Cliente 823,Corporativo,Ubicacion 68,a02aj000008MD5LAAW,19503.55
Cliente 747,Gobierno,Ubicacion 29,a02aj000008MD5wAAG,48252.88
Cliente 684,Gobierno,Ubicacion 26,a02aj000008MD5VAAW,31391.09
Cliente 571,Mediana Empresa,Ubicacion 25,a02aj000008MD5uAAG,48212.90
Cliente 1843,Gobierno,Ubicacion 17,a02aj000008MD5hAAG,40142.17
Cliente 192,Corporativo,Ubicacion 96,a02aj000008MD6JAAW,47511.50
