N̼mero de Pedido,Cliente,Fecha del Pedido,Monto Total,Estado del Pedido,Ejecutivo Responsable,Producto Comprado
Pedido-1369,a01aj00000wQ3jcAAC,2024-08-23,3166.62,Cancelado,a02aj000008MD5MAAW,Producto 118
Pedido-2783,a01aj00000wQ3YzAAK,2024-09-29,3270.67,Pendiente,a02aj000008MD5HAAW,Producto 88
Pedido-848,a01aj00000wQ3gjAAC,2024-11-14,1541.57,Procesado,a02aj000008MD5dAAG,Producto 158
Pedido-4424,a01aj00000wQ3nnAAC,2024-09-28,1286.11,Entregado,a02aj000008MD6FAAW,Producto 282
Pedido-573,a01aj00000wQ0qGAAS,2024-07-17,2753.29,Pendiente,a02aj000008MD5IAAW,Producto 189
Pedido-3383,a01aj00000wQ3YmAAK,2024-11-20,4296.06,Enviado,a02aj000008MD6KAAW,Producto 16
Pedido-1522,a01aj00000wPY70AAG,2024-11-23,648.75,Pendiente,a02aj000008MD63AAG,Producto 34
Pedido-2039,a01aj00000wQ0pSAAS,2024-08-14,859.45,Enviado,a02aj000008MD5zAAG,Producto 220
Pedido-4493,a01aj00000wQ3iMAAS,2025-02-12,3062.40,Cancelado,a02aj000008MD5yAAG,Producto 243
Pedido-4476,a01aj00000wQ0qeAAC,2025-01-30,4850.35,Enviado,a02aj000008MD5QAAW,Producto 117
Pedido-1776,a01aj00000wQ3lLAAS,2025-02-08,4807.76,Cancelado,a02aj000008MD6MAAW,Producto 9
Pedido-4531,a01aj00000wQ3txAAC,2024-05-21,4658.83,Procesado,a02aj000008MD5VAAW,Producto 51
Pedido-2117,a01aj00000wQ3rmAAC,2024-04-22,1377.46,Entregado,a02aj000008MD64AAG,Producto 93
Pedido-508,a01aj00000wQ3c3AAC,2025-01-31,2427.89,Cancelado,a02aj000008MD5gAAG,Producto 237
Pedido-2855,a01aj00000wQ3nYAAS,2024-04-03,4263.04,Entregado,a02aj000008MD5FAAW,Producto 187
Pedido-4024,a01aj00000wQ3fuAAC,2025-01-29,3858.63,Pendiente,a02aj000008MD5vAAG,Producto 72
Pedido-2255,a01aj00000wQ3nfAAC,2024-03-09,1245.20,Pendiente,a02aj000008MD6DAAW,Producto 277
Pedido-2972,a01aj00000wQ3ZnAAK,2024-05-15,1950.84,Entregado,a02aj000008MD6DAAW,Producto 36
Pedido-2100,a01aj00000wQ0qZAAS,2025-02-20,4590.42,Procesado,a02aj000008MD6EAAW,Producto 195
Pedido-4735,a01aj00000wQ3kjAAC,2024-08-24,4216.21,Procesado,a02aj000008MD60AAG,Producto 132
Pedido-1028,a01aj00000wQ3aAAAS,2024-12-20,1819.93,Cancelado,a02aj000008MD5GAAW,Producto 245
Pedido-2221,a01aj00000wQ3tFAAS,2024-06-06,3832.45,Enviado,a02aj000008MD5uAAG,Producto 226
Pedido-126,a01aj00000wQ3t5AAC,2024-10-01,2482.60,Cancelado,a02aj000008MD5IAAW,Producto 185
Pedido-2856,a01aj00000wPY6uAAG,2025-01-04,400.72,Enviado,a02aj000008MD6RAAW,Producto 27
Pedido-2875,a01aj00000wQ0ppAAC,2024-03-08,2203.81,Entregado,a02aj000008MD61AAG,Producto 176
Pedido-1693,a01aj00000wQ3i5AAC,2024-11-03,4063.37,Pendiente,a02aj000008MD5XAAW,Producto 257
