N̼mero de Pedido,Cliente,Fecha del Pedido,Monto Total,Estado del Pedido,Ejecutivo Responsable,Producto Comprado
Pedido-1369,a01aj00000wQ3jcAAC,2024-08-23,3166.62,Cancelado,a02aj000008MD5MAAW,a00aj00000hTUbxAAG
Pedido-2783,a01aj00000wQ3YzAAK,2024-09-29,3270.67,Pendiente,a02aj000008MD5HAAW,a00aj00000hTzvdAAC
Pedido-848,a01aj00000wQ3gjAAC,2024-11-14,1541.57,Procesado,a02aj000008MD5dAAG,a00aj00000hTgy6AAC
Pedido-4424,a01aj00000wQ3nnAAC,2024-09-28,1286.11,Entregado,a02aj000008MD6FAAW,a00aj00000hTUbwAAG
Pedido-3383,a01aj00000wQ3YmAAK,2024-11-20,4296.06,Enviado,a02aj000008MD6KAAW,a00aj00000hTgyNAAS
Pedido-1522,a01aj00000wPY70AAG,2024-11-23,648.75,Pendiente,a02aj000008MD63AAG,a00aj00000hTgxqAAC
Pedido-2039,a01aj00000wQ0pSAAS,2024-08-14,859.45,Enviado,a02aj000008MD5zAAG,a00aj00000hTzwaAAC
Pedido-4476,a01aj00000wQ0qeAAC,2025-01-30,4850.35,Enviado,a02aj000008MD5QAAW,a00aj00000hTzw4AAC
Pedido-1776,a01aj00000wQ3lLAAS,2025-02-08,4807.76,Cancelado,a02aj000008MD6MAAW,a00aj00000hTUc5AAG
Pedido-2855,a01aj00000wQ3nYAAS,2024-04-03,4263.04,Entregado,a02aj000008MD5FAAW,a00aj00000hTUcWAAW
Pedido-4024,a01aj00000wQ3fuAAC,2025-01-29,3858.63,Pendiente,a02aj000008MD5vAAG,a00aj00000hTgy1AAC
Pedido-2255,a01aj00000wQ3nfAAC,2024-03-09,1245.20,Pendiente,a02aj000008MD6DAAW,a00aj00000hTUbvAAG
Pedido-2100,a01aj00000wQ0qZAAS,2025-02-20,4590.42,Procesado,a02aj000008MD6EAAW,a00aj00000hTzvtAAC
Pedido-2221,a01aj00000wQ3tFAAS,2024-06-06,3832.45,Enviado,a02aj000008MD5uAAG,a00aj00000hTUcyAAG
Pedido-126,a01aj00000wQ3t5AAC,2024-10-01,2482.60,Cancelado,a02aj000008MD5IAAW,a00aj00000hTUcVAAW
Pedido-2856,a01aj00000wPY6uAAG,2025-01-04,400.72,Enviado,a02aj000008MD6RAAW,a00aj00000hTUcRAAW
Pedido-1693,a01aj00000wQ3i5AAC,2024-11-03,4063.37,Pendiente,a02aj000008MD5XAAW,a00aj00000hTUchAAG
Pedido-2243,a01aj00000wQ3k7AAC,2024-12-18,906.27,Entregado,a02aj000008MD5IAAW,a00aj00000hTzw8AAC
Pedido-4892,a01aj00000wPY7CAAW,2024-08-01,3038.45,Enviado,a02aj000008MD5eAAG,a00aj00000hTUcSAAW
Pedido-1195,a01aj00000wQ3ooAAC,2024-11-18,3203.30,Entregado,a02aj000008MD69AAG,a00aj00000hTgyIAAS
Pedido-4402,a01aj00000wQ3oqAAC,2025-02-06,3391.29,Procesado,a02aj000008MD5SAAW,a00aj00000hTgy9AAC
Pedido-3781,a01aj00000wPw71AAC,2024-05-30,3181.62,Entregado,a02aj000008MD6CAAW,a00aj00000hTUciAAG
Pedido-1589,a01aj00000wQ3uIAAS,2024-11-16,107.57,Entregado,a02aj000008MD5GAAW,a00aj00000hTUcLAAW
Pedido-2375,a01aj00000wQ3ogAAC,2024-04-15,127.38,Pendiente,a02aj000008MD6GAAW,a00aj00000hTUcOAAW
Pedido-902,a01aj00000wQ0qYAAS,2024-05-23,363.37,Procesado,a02aj000008MD6HAAW,a00aj00000hTUcbAAG
Pedido-3086,a01aj00000wQ3hJAAS,2025-01-09,4795.30,Procesado,a02aj000008MD5MAAW,a00aj00000hTUd2AAG
Pedido-4432,a01aj00000wQ3fzAAC,2024-05-08,2626.66,Enviado,a02aj000008MD5kAAG,a00aj00000hTzvyAAC
Pedido-777,a01aj00000wQ3foAAC,2024-09-18,1764.51,Procesado,a02aj000008MD65AAG,a00aj00000hTUcHAAW
Pedido-2789,a01aj00000wQ3ssAAC,2025-02-17,825.14,Entregado,a02aj000008MD5nAAG,a00aj00000hTzvvAAC
Pedido-4167,a01aj00000wQ3gFAAS,2024-10-08,4259.94,Enviado,a02aj000008MD5hAAG,a00aj00000hTgxqAAC
Pedido-1284,a01aj00000wQ3nlAAC,2024-03-18,4663.40,Cancelado,a02aj000008MD66AAG,a00aj00000hTzwcAAC
