N̼mero de Pedido,Cliente,Fecha del Pedido,Monto Total,Estado del Pedido,Ejecutivo Responsable,Producto Comprado
Pedido-1369,Cliente 261,2024-08-23,3166.62,Cancelado,Empleado 81,Producto 118
Pedido-2783,Cliente 18,2024-09-29,3270.67,Pendiente,Empleado 71,Producto 88
Pedido-848,Cliente 1898,2024-11-14,1541.57,Procesado,Empleado 70,Producto 158
Pedido-4424,Cliente 1647,2024-09-28,1286.11,Entregado,Empleado 55,Producto 282
Pedido-573,Cliente 1902,2024-07-17,2753.29,Pendiente,Empleado 46,Producto 189
Pedido-3383,Cliente 1012,2024-11-20,4296.06,Enviado,Empleado 69,Producto 16
Pedido-1522,Cliente 1123,2024-11-23,648.75,Pendiente,Empleado 25,Producto 34
Pedido-2039,Cliente 1375,2024-08-14,859.45,Enviado,Empleado 82,Producto 220
Pedido-4493,Cliente 1762,2025-02-12,3062.40,Cancelado,Empleado 20,Producto 243
Pedido-4476,Cliente 598,2025-01-30,4850.35,Enviado,Empleado 31,Producto 117
Pedido-1776,Cliente 975,2025-02-08,4807.76,Cancelado,Empleado 98,Producto 9
Pedido-4531,Cliente 204,2024-05-21,4658.83,Procesado,Empleado 77,Producto 51
Pedido-2117,Cliente 155,2024-04-22,1377.46,Entregado,Empleado 4,Producto 93
Pedido-508,Cliente 1958,2025-01-31,2427.89,Cancelado,Empleado 97,Producto 237
Pedido-2855,Cliente 1262,2024-04-03,4263.04,Entregado,Empleado 84,Producto 187
Pedido-4024,Cliente 594,2025-01-29,3858.63,Pendiente,Empleado 8,Producto 72
Pedido-2255,Cliente 1158,2024-03-09,1245.20,Pendiente,Empleado 57,Producto 277
Pedido-2972,Cliente 45,2024-05-15,1950.84,Entregado,Empleado 57,Producto 36
Pedido-2100,Cliente 84,2025-02-20,4590.42,Procesado,Empleado 100,Producto 195
Pedido-4735,Cliente 1374,2024-08-24,4216.21,Procesado,Empleado 26,Producto 132
Pedido-1028,Cliente 846,2024-12-20,1819.93,Cancelado,Empleado 54,Producto 245
Pedido-2221,Cliente 902,2024-06-06,3832.45,Enviado,Empleado 35,Producto 226
Pedido-126,Cliente 1727,2024-10-01,2482.60,Cancelado,Empleado 46,Producto 185
Pedido-2856,Cliente 1853,2025-01-04,400.72,Enviado,Empleado 99,Producto 27
Pedido-2875,Cliente 592,2024-03-08,2203.81,Entregado,Empleado 63,Producto 176
Pedido-1693,Cliente 1819,2024-11-03,4063.37,Pendiente,Empleado 13,Producto 257
Pedido-3535,Cliente 1069,2024-08-20,4219.45,Enviado,Empleado 81,Producto 272
Pedido-2243,Cliente 613,2024-12-18,906.27,Entregado,Empleado 46,Producto 210
Pedido-3683,Cliente 1990,2024-05-25,4551.43,Procesado,Empleado 49,Producto 73
Pedido-4892,Cliente 744,2024-08-01,3038.45,Enviado,Empleado 16,Producto 211
Pedido-1195,Cliente 1601,2024-11-18,3203.30,Entregado,Empleado 7,Producto 41
Pedido-3499,Cliente 1154,2024-07-20,1585.29,Pendiente,Empleado 69,Producto 3
Pedido-4402,Cliente 1017,2025-02-06,3391.29,Procesado,Empleado 34,Producto 276
Pedido-3781,Cliente 231,2024-05-30,3181.62,Entregado,Empleado 90,Producto 160
Pedido-4898,Cliente 1900,2024-06-30,3600.48,Enviado,Empleado 78,Producto 207
Pedido-1589,Cliente 651,2024-11-16,107.57,Entregado,Empleado 54,Producto 188
Pedido-2375,Cliente 49,2024-04-15,127.38,Pendiente,Empleado 44,Producto 279
Pedido-902,Cliente 1982,2024-05-23,363.37,Procesado,Empleado 51,Producto 58
Pedido-3086,Cliente 937,2025-01-09,4795.30,Procesado,Empleado 81,Producto 18
Pedido-3496,Cliente 1576,2024-11-17,1427.17,Enviado,Empleado 42,Producto 135
Pedido-4432,Cliente 212,2024-05-08,2626.66,Enviado,Empleado 48,Producto 119
Pedido-777,Cliente 1668,2024-09-18,1764.51,Procesado,Empleado 18,Producto 290
Pedido-2789,Cliente 170,2025-02-17,825.14,Entregado,Empleado 94,Producto 205
Pedido-4167,Cliente 129,2024-10-08,4259.94,Enviado,Empleado 10,Producto 34
Pedido-1284,Cliente 1483,2024-03-18,4663.40,Cancelado,Empleado 39,Producto 91
Pedido-2921,Cliente 1973,2024-02-29,4948.50,Cancelado,Empleado 13,Producto 21
Pedido-3666,Cliente 1604,2024-10-25,827.88,Procesado,Empleado 77,Producto 47
Pedido-3355,Cliente 1359,2024-05-16,213.77,Pendiente,Empleado 8,Producto 223
Pedido-2899,Cliente 1170,2024-10-11,493.88,Entregado,Empleado 81,Producto 233
Pedido-1335,Cliente 536,2024-07-12,4036.26,Enviado,Empleado 70,Producto 99
Pedido-1402,Cliente 1658,2024-11-09,405.98,Entregado,Empleado 44,Producto 293
Pedido-880,Cliente 1287,2024-09-08,1268.92,Pendiente,Empleado 16,Producto 95
Pedido-2965,Cliente 980,2025-02-03,867.53,Entregado,Empleado 59,Producto 178
Pedido-1862,Cliente 1345,2024-08-23,2762.09,Pendiente,Empleado 80,Producto 289
Pedido-3656,Cliente 192,2025-02-06,2751.99,Enviado,Empleado 78,Producto 294
Pedido-2426,Cliente 1978,2024-09-18,4865.89,Enviado,Empleado 57,Producto 262
Pedido-3103,Cliente 799,2024-08-19,4168.32,Cancelado,Empleado 67,Producto 220
Pedido-941,Cliente 1146,2025-01-31,4591.02,Cancelado,Empleado 66,Producto 167
Pedido-1254,Cliente 314,2024-04-24,3906.55,Entregado,Empleado 80,Producto 49
Pedido-93,Cliente 1368,2024-10-28,4802.25,Procesado,Empleado 50,Producto 141
Pedido-3522,Cliente 1457,2025-01-26,3583.34,Pendiente,Empleado 45,Producto 248
Pedido-2805,Cliente 61,2024-10-30,280.16,Enviado,Empleado 77,Producto 248
Pedido-3766,Cliente 447,2025-01-18,2711.67,Cancelado,Empleado 48,Producto 164
Pedido-2168,Cliente 755,2025-01-08,2877.74,Cancelado,Empleado 43,Producto 285
Pedido-930,Cliente 668,2024-11-22,4697.30,Pendiente,Empleado 29,Producto 100
Pedido-1614,Cliente 648,2024-10-13,3510.05,Cancelado,Empleado 41,Producto 205
Pedido-667,Cliente 84,2024-04-09,4993.85,Cancelado,Empleado 14,Producto 128
Pedido-2862,Cliente 1816,2024-09-09,1491.64,Procesado,Empleado 9,Producto 46
Pedido-3409,Cliente 717,2024-12-06,1881.98,Pendiente,Empleado 98,Producto 189
Pedido-1838,Cliente 1747,2024-09-25,3207.90,Cancelado,Empleado 66,Producto 298
Pedido-3919,Cliente 1513,2024-10-12,1131.91,Cancelado,Empleado 56,Producto 42
Pedido-4521,Cliente 1990,2024-11-28,4147.39,Procesado,Empleado 14,Producto 189
Pedido-3127,Cliente 447,2024-09-18,4647.74,Enviado,Empleado 86,Producto 70
Pedido-642,Cliente 1788,2024-11-29,1443.46,Entregado,Empleado 48,Producto 19
Pedido-592,Cliente 324,2024-09-16,2982.50,Enviado,Empleado 73,Producto 205
